"Input one per line. The first matching one on the page will be used in order to help position the ribbons","Input one per line. The first matching one on the page will be used in order to help position the ribbons"
"Invalid path name","Invalid path name"
"Less than","Less than"
"Less than or equal to","Less than or equal to"
Like,Like
Main,Main
"Manage Extensions","Manage Extensions"
"Manage Images","Manage Images"
"Manage Product Ribbons","Manage Product Ribbons"
"Middle Center","Middle Center"
"Middle Left","Middle Left"
"Middle Right","Middle Right"
"Missing data for condition","Missing data for condition"
"Missing data for item","Missing data for item"
Name,Name
Namespace,Namespace
"New lines are converted to line breaks. You may enter special variables with <i>{{var [name]}}</i> where you replace <i>[name]</i> with the name of variable. For example, {{var price}} will output the price. You can format the output using <i>sprintf</i> formatting and using other value filters (look at the user guide). Here are two examples of using filters: <br/><br/><ul><li><b>{{var ew:discount_percent|sprintf:%s}}</b> - format the discount percent to only show leading digits</li><li><b>{{var ew:seconds_since_creation|divide:86400|round|max:1}}</b> - convert the seconds since creation to days since creation</li></ul> <br/><b>List of Variable Names</b><br/>%s<br/><br/><b>Note:</b> If a variable is not showing in the frontend then you need to make sure the product attribute is available to the loaded product. This usually means the attribute must be set to ""Used in Product Listing"" in Catalog -> Attributes.","New lines are converted to line breaks. You may enter special variables with <i>{{var [name]}}</i> where you replace <i>[name]</i> with the name of variable. For example, {{var price}} will output the price. You can format the output using <i>sprintf</i> formatting and using other value filters (look at the user guide). Here are two examples of using filters: <br/><br/><ul><li><b>{{var ew:discount_percent|sprintf:%s}}</b> - format the discount percent to only show leading digits</li><li><b>{{var ew:seconds_since_creation|divide:86400|round|max:1}}</b> - convert the seconds since creation to days since creation</li></ul> <br/><b>List of Variable Names</b><br/>%s<br/><br/><b>Note:</b> If a variable is not showing in the frontend then you need to make sure the product attribute is available to the loaded product. This usually means the attribute must be set to ""Used in Product Listing"" in Catalog -> Attributes."
"No Image","No Image"
"Normal Attributes","Normal Attributes"
"Not equal to","Not equal to"
"Not like","Not like"
"Only set this if you only want the ribbon active within a certain date range. Current time is %s","Only set this if you only want the ribbon active within a certain date range. Current time is %s"
Pass,Pass
Path,Path
Piority,Piority
"Please <u>read the help descriptions, field descriptions, fieldset descriptions, and user guides</u> so you may configure this extension to suit your needs.","Please <u>read the help descriptions, field descriptions, fieldset descriptions, and user guides</u> so you may configure this extension to suit your needs."
"Please select an item(s) before submitting to the mass processor","Please select an item(s) before submitting to the mass processor"
Position,Position
Preview,Preview
Price,Price
Priority,Priority
"Processing Mode","Processing Mode"
"Product IDs cannot be determined from your category listing page. Inside of each category listing block you should output <span id=""extendware-pid-[product id here]""></span> so that the product ID may be determined. We can perform this action for you as part of our custom development service.","Product IDs cannot be determined from your category listing page. Inside of each category listing block you should output <span id=""extendware-pid-[product id here]""></span> so that the product ID may be determined. We can perform this action for you as part of our custom development service."
"Product Image","Product Image"
"Product image cannot be determined from your category listing page. You will need to adjust the Category Image Selector CSS selector in the developer section of the product ribbon configuration to match your theme, so that product images can be found. We can perform this action for you as part of our custom development service.","Product image cannot be determined from your category listing page. You will need to adjust the Category Image Selector CSS selector in the developer section of the product ribbon configuration to match your theme, so that product images can be found. We can perform this action for you as part of our custom development service."
"Product image cannot be determined from your product page. You will need to adjust the Product Image Selector CSS selector in the developer section of the product ribbon configuration to match your theme, so that product images can be found. We can perform this action for you as part of our custom development service.","Product image cannot be determined from your product page. You will need to adjust the Product Image Selector CSS selector in the developer section of the product ribbon configuration to match your theme, so that product images can be found. We can perform this action for you as part of our custom development service."
"Product Image Selector","Product Image Selector"
"Product Overrides","Product Overrides"
"Product overrides allow you to always include / exclude a product despite other conditions.","Product overrides allow you to always include / exclude a product despite other conditions."
"Product Page Ribbon","Product Page Ribbon"
"Product Ribbon","Product Ribbon"
"Product ribbon has been successfully saved","Product ribbon has been successfully saved"
"Product Ribbons","Product Ribbons"
"Product Text","Product Text"
"Reference Positino CSS Selectors","Reference Positino CSS Selectors"
"Reference Position CSS Selectors","Reference Position CSS Selectors"
Remove,Remove
Ribbon,Ribbon
"Ribbon has been deleted","Ribbon has been deleted"
"Ribbon Image","Ribbon Image"
"Ribbon Images","Ribbon Images"
"Ribbon will only be shown in these stores. Use CTRL+Click to select more than store","Ribbon will only be shown in these stores. Use CTRL+Click to select more than store"
"Ribbon with that name already exists","Ribbon with that name already exists"
Ribbons,Ribbons
"Ribbons are processed according to priority. Ribbons with a higher priority will appear on top of other ribbons if they are in the same position on the product image.","Ribbons are processed according to priority. Ribbons with a higher priority will appear on top of other ribbons if they are in the same position on the product image."
"Root Category","Root Category"
"Selected item(s) (%d) have been mass processed by the %s processor","Selected item(s) (%d) have been mass processed by the %s processor"
"Selected item(s) (%d) have failed to be mass processed by the %s processor","Selected item(s) (%d) have failed to be mass processed by the %s processor"
Selectors,Selectors
Settings,Settings
SKU,SKU
"Sort Order","Sort Order"
"Special Attributes","Special Attributes"
State,State
Status,Status
"Stop On Match","Stop On Match"
"Store View","Store View"
"Style Information","Style Information"
Text,Text
"Text Style","Text Style"
"The general location the ribbon will appear. You can customize further with styles if needed.","The general location the ribbon will appear. You can customize further with styles if needed."
"This is normally one of the main div containers on the page such as div.main or div.catalog-products, etc.","This is normally one of the main div containers on the page such as div.main or div.catalog-products, etc."
"This is normally one of the main div containers on the page such as div[class~=""main""] or div[class~=""category-products""], etc. It will be an element where the css position is set to ""relative"".","This is normally one of the main div containers on the page such as div[class~=""main""] or div[class~=""category-products""], etc. It will be an element where the css position is set to ""relative""."
"This text will appear over the product image. Special variables are available","This text will appear over the product image. Special variables are available"
"To Date","To Date"
"Top Center","Top Center"
"Top Left","Top Left"
"Top Right","Top Right"
Type,Type
"User Guides / Help","User Guides / Help"
Value,Value
Width,Width
"You can use an ""image style"" to change the dimensions of the image","You can use an ""image style"" to change the dimensions of the image"
